year,name,label,keyword,ner,tf_idf
107,新世代化學材料產業輔導與推廣計畫(3/4),能源,,,"材料, 綠色, 產品, 關鍵, 環保"
107,智慧電動車輛產業推動計畫(4/4),能源,,,"智慧, 政策, 車輛, 綠能, 電動車"
107,工業減碳領航計畫(2/4),能源,,,"能源, 低碳, 燃料, 碳, 製程"
107,能源國家型科技計畫-產業溫室氣體減量推動計畫(5/5),能源,,,"製造業, 氣候, 溫室, 氣體, 量"
107,產業永續發展計畫(2/4),能源,,,"綠色, 環保, 環境, 國際, 標準"
107,材料與化工產業整合發展計畫(2/4),能源,,,"能量, 產品, 學研, 綠色, 廠商"
107,再生能源憑證中心及檢測驗證發展計畫(2/4),能源,,,"憑證, 能源, 平台, 風力, 數據"
107,新興能源產品檢測標準與驗證技術計畫(2/2),能源,,,"標準, 能量, 太陽, 性能, 風力機"
107,再生能源投(融)資第三方檢測驗證中心計畫(2/4),能源,,,"標準, 能源, 專案, 投融資, 保險"
107,服務業能源管理與技術輔導計畫(1/4),能源,,,"措施, 碳, 能源, 企業, 商業"
107,離岸風場區塊開發海域環境建構計畫(2/4),能源,,,"區塊, 經濟部, 風場, 海域, 環境"
107,沙崙綠能科學城-綠能科技示範場域旗艦計畫(2/4),能源,,,"電池, 場域, 平台, 模組, 製程"
107,沙崙綠能科學城-綠能科技產業化技術驗證平台(1/3),能源,,,"平台, 能源, 設備, 鋁電池, 建材"
107,區域性儲能設備技術示範驗證計畫(2/8),能源,,,"儲能, 能源, 電力, 區域性, 設備"
107,低碳排放之無機聚合綠色水泥及混凝土製備研究(3/4),能源,,,"混凝土, 綠色, 水泥, 礦山, 廢料"
107,低碳運輸系統發展計畫(4/4),能源,,,"政策, 模組, 策略, 運輸業, 碳"
107,循環材料之高值化(2/4),能源,,,"循環, 業界, 材料, 學界, 經濟部"
107,綠能科技創新研究與服務平台計畫(2/4),能源,,,"綠能, 平台, 科學城, 晶片, 智慧"
107,科學城低碳智慧環境基礎建置－科技計畫部份(2/5),能源,,,"智慧, 設施, 環境, 能源, 綠能"
107,重點產業高階人才培訓與就業計畫(2/5),能源,,,"博士級, 人才, 產業界, 國家, 博士"
107,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會","科技, 成果, 國家型, 工作, 辦公室"
107,能源國家型科技計畫-能源主軸與產業需求科技研究(5/5),能源,,,"主軸, 能源, 中心, 智慧, 小組"
107,台灣光子源綠能生醫旗艦計畫(2/4),能源,,,"台灣, 綠能, 材料, 生技, 大學"
107,中部科學工業園區業務推展計畫(1/1),能源,,,"園區, 人才, 場域, 科技, 能量"
107,原子能系統工程跨域整合發展計畫(2/4),能源,,,"燃料, 廢棄物, 作業, 電弧, 核"
107,核能技術及核電廠除役之安全強化研究(4/4),能源,,,"事故, 核電廠, 核能, 反應器, 氫氣"
107,原子能科技學術合作研究計畫(1/1),能源,,,"科技, 原子能, 領域, 核能, 輻射"
107,放射性廢棄物貯存與處置安全管制技術發展(3/4),能源,,,"放射性, 廢棄物, \n子項, 坑道, 核子"
107,永續能源技術與策略發展應用計畫(3/3),能源,,,"主軸, 電池, 能源, 太陽, 模組"
107,核能電廠安全管制法規與技術研究計畫(3/4),能源,,,"核安, 核能, 福島, 國際, 機組"
107,綠能科技深化研發與示範應用計畫(2/4),能源,,,"太陽能, 能源, 儲能, 區域, 電網"
107,農業資源循環暨農能共構之產業創新(2/4),能源,,,"農業, 綠能, 工作, 模式, 資材"
107,能源國家型科技計畫—新及再生能源技術研發(4/4),能源,,,"經費, 能源, 國家型, 科技, 總經費"
107,107年度「業界能源科技研究發展計畫」(1/1),能源,,,"能源, 科技, 業界, 方式, 基金"
107,107年度「再生能源開發與推廣計畫」(1/1),能源,,,"經費, 能源, 補助款, 科技, 太陽能"
